r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.1	0.8	0.2	0	1	0.4	1.2	0.8	1.4	-0.02336502075	-0.05292892456	-0.04224777222	2.553827118	1	0	2.514295356	2.379864197	2.553441739	0.07750627567	0.05142985718	0.02607641847	2.512013209	0.08707871122	0.06368281048	0.02339590076	7.705716684
2	1	0.1	0.9	0.02	0	1	0.45	1.02	0.9	1.04	-0.001621246338	-0.1194953918	-0.1620292664	2.64491358	3	-0.001585995566	2.553854001	2.266326652	2.645701751	0.07497122453	0.03684494132	0.03812628321	2.553922375	0.0697530404	0.03284272233	0.03691031808	7.762029962
2	1	0.1	0.9	0.04	0	1	0.45	1.04	0.9	1.08	-0.003147125244	-0.1009941101	-0.1315116882	2.632038059	1	0	2.514295356	2.290867907	2.632826603	0.07471704971	0.03830489866	0.03641215105	2.51228074	0.08704435528	0.06368776444	0.02335659087	7.629155398
2	1	0.1	0.9	0.06	0	1	0.45	1.06	0.9	1.12	-0.004863739014	-0.0901222229	-0.1124382019	2.621072074	1	0	2.514295356	2.304175527	2.621661791	0.07438217886	0.03959855323	0.03478362563	2.512218801	0.08690240643	0.06354919803	0.02335320842	7.638734499
2	1	0.1	0.9	0.08	0	1	0.45	1.08	0.9	1.16	-0.00638961792	-0.08230209351	-0.09832382202	2.611411141	1	0	2.514295356	2.311913667	2.611873994	0.07432549294	0.04103835679	0.03328713616	2.512218333	0.08692022975	0.06356391327	0.0233563165	7.909050409
2	1	0.1	0.9	0.1	0	1	0.45	1.1	0.9	1.2	-0.008106231689	-0.07638931274	-0.08707046509	2.602742654	1	0	2.514295356	2.342394024	2.603025431	0.0744788675	0.04253986353	0.03193900396	2.512166739	0.0870194017	0.06364958822	0.02336981351	7.675794756
2	1	0.1	0.9	0.12	0	1	0.45	1.12	0.9	1.24	-0.009632110596	-0.07162094116	-0.07772445679	2.59487536	1	0	2.514295356	2.349939711	2.595181672	0.07468195196	0.04397004401	0.03071190795	2.512242732	0.0869848819	0.06363012577	0.02335475616	7.684534349
2	1	0.1	0.9	0.14	0	1	0.45	1.14	0.9	1.28	-0.01134872437	-0.0678062439	-0.06971359253	2.587676884	1	0	2.514295356	2.360005278	2.587871918	0.0747943759	0.04529860591	0.02949576998	2.512354503	0.08688633059	0.06355579018	0.02333054044	7.944069363
2	1	0.1	0.9	0.16	0	1	0.45	1.16	0.9	1.32	-0.01306533813	-0.06456375122	-0.06284713745	2.581049989	1	0	2.514295356	2.363922836	2.58104874	0.07525168238	0.04678379363	0.02846788878	2.512167371	0.08707926015	0.06370586472	0.02337339545	7.692694411
2	1	0.1	0.9	0.18	0	1	0.45	1.18	0.9	1.36	-0.0147819519	-0.06189346313	-0.05674362183	2.574922202	1	0	2.514295356	2.376324777	2.574696658	0.07553803076	0.04807900665	0.02745902411	2.512097212	0.08707719894	0.06369700932	0.02338018965	7.705884393
